Index,Title,Category,New Category,Reference Number,Maker/Artist,Materials,Measurements,Time Period,FINAL,Additional Information,Image Link
1731,Two Whale Bone Busk Carvings,Sculpture,Figures,1081,,Whale bone,12 x 12 in,Circa 1835,1835,"carving; busk; geometric; trees; ""This is a busk carved by Orient seamen from whale bone when on whaling voyage.""",https://artcrimes.fbi.gov/nsaf/two-whale-bone-busk-carvings/BuskCarvings.gif/@@images/image/thumb
1732,Cheetah,Sculpture,Figures,238,Henry Mitchel,Bronze,24 x 18 in,,,sculpture; cheetah,https://artcrimes.fbi.gov/nsaf/cheetah/Cheetah.gif/@@images/image/thumb
1733,Vineyard Haven Harbor Winter,Paintings,Physical Art,1046,Max Moran,Oil on canvas,10 x 14 in,1990-1991,1991,,https://artcrimes.fbi.gov/nsaf/vineyard-haven-harbor-winter/VineyardHavenHarborWinter.gif/@@images/image/thumb
1734,The Four Seasons,Other - Collectibles,,1121,Unknown,,"About 6"" in length",,,,https://artcrimes.fbi.gov/nsaf/the-four-seasons/01121_the_four_seasons_picture.PNG/@@images/image/thumb
1735,Kanggye in North Korea,Print,Physical Art,964,Hiyoshi Mamoru,Woodblock,19.5 x 14.25 in,1900-1957,1929,print; Asian; road; fence; trees; mountain,https://artcrimes.fbi.gov/nsaf/kanggye-in-north-korea/KanggyeNorthKorea.gif/@@images/image/thumb
1736,Portrait of a Woman,Paintings,Physical Art,954,Nicolas Froment,Oil on panel,15 x 10 in,1425-1485,1455,painting; portrait; left facing; woman; blond; hat; necklace,https://artcrimes.fbi.gov/nsaf/portrait-of-a-woman/PortraitWoman.gif/@@images/image/thumb
1737,Vaidila,Paintings,Physical Art,1028,Vanda Stancikaites,Oil on canvas,58 x 40 in,1949,1949,painting; exterior; man; beard; boy; girl; musical instrument; hat; tree; signed lower right,https://artcrimes.fbi.gov/nsaf/vaidila/Vaidila.gif/@@images/image/thumb
1738,The Croquet Player: A Story,Books,Physical Art,895,H. G. Wells,Printed paper,20.00 cm,Copyright,,"book; Kenyon College books can be identified by the following:
1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or
2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note",https://artcrimes.fbi.gov/nsaf/the-croquet-player-a-story/seal-fbi.jpg/@@images/image/thumb
1739,Atlas minor sive geographia,Books,Physical Art,925,Nicolaus Vischer,,,1650-1683,1667,book,https://artcrimes.fbi.gov/nsaf/atlas-minor-sive-geographia/seal-fbi.jpg/@@images/image/thumb
1740,Rosa Gallica Versicolor,Print,Physical Art,447,Pierre Joseph Redoute,Paper,Sheet size,1817-1824,1821,engraving; flower; rose; Inscription on the bottom of the paper:Rosa Gallica Versicolor (lower left); Rosier de France a fleurs panachees (lower right); P. J. Redoute pinx. (lower left); Imprimerie de Remond (bottom center); Langlois sculp. (lower right),https://artcrimes.fbi.gov/nsaf/rosa-gallica-versicolor/00447%20picture%202.jpg/@@images/image/thumb
1741,Apostles Surrounding Christ,Paintings,Physical Art,674,,Wood; oil paint,"23.5"" x 29""",,,painting Jesus Christ; Apostles,https://artcrimes.fbi.gov/nsaf/apostles-surrounding-christ/ApostlesSurroundingChrist.jpg/@@images/image/thumb
1742,Keno Trailed Bottle,Ornamental Ceramic Wares,Containers,389,Caddo Nation,Ceramic,12.00 cm,600 AD,600,"pottery; single incised line halfway down neck, interlocking scroll design on body that inverts as repeats twice; not cracked or chipped, spool neck",https://artcrimes.fbi.gov/nsaf/keno-trailed-bottle/KenoBottle.gif/@@images/image/thumb
1743,Umbrella/Parasol Handle,Clothing and Costumes,Fabrics,956,Michael Evlampievich Perchin,lGlass; gold; enamel,,,,Umbrella handle,https://artcrimes.fbi.gov/nsaf/umbrella-parasol-handle/seal-fbi.jpg/@@images/image/thumb
1744,Golden Calf,Print,Physical Art,499,Salvador Dali,,,,,print; surrealism; Number 7/65,https://artcrimes.fbi.gov/nsaf/golden-calf/00499%20picture%208.jpg/@@images/image/thumb
1745,Small Mother and Baby,Print,Physical Art,893,Edna Hibel,Lithograph canvas,,20th Century,1954,print; portrait; woman; infant; signed; Portfolio # 189,https://artcrimes.fbi.gov/nsaf/small-mother-and-baby/seal-fbi.jpg/@@images/image/thumb
1746,The Family,Sculpture,Figures,73,John Grauman,Aluminum,7' x 4',2003,2003,sculpture; abstract art; unsigned,https://artcrimes.fbi.gov/nsaf/the-family/TheFamily.gif/@@images/image/thumb
1747,Autumn Storm,Paintings,Physical Art,697,Saika Doi; Japan,Ink on paper,26 1/2 x 18 in,1989,1989,"painting; abstract art; blue; black; Not signed, red seal (chop) of artist",https://artcrimes.fbi.gov/nsaf/autumn-storm/AutumnStorm.gif/@@images/image/thumb
1748,La Tempesta,Sculpture,Figures,355,Jill Burkee,Bronze,29 in,1988,1988,sculpture; nude woman; standing; Foundry mark,https://artcrimes.fbi.gov/nsaf/la-tempesta/LaTempesta.gif/@@images/image/thumb
1749,Double Gold Leaf Frame by Temple Frame Company,Other - Jewelry,Accessories,1150,"Temple Frame Company in 1815, London England - by Thomas Temple",Frame was double gold leafed in 1950 or 1951,Height,1950 or 1951,1950,Inscription on the back is written in black writing and states,https://artcrimes.fbi.gov/nsaf/double-gold-leaf-frame-by-temple-frame-company/01150_picture.jpg/@@images/image/thumb
1750,Georgia,Paintings,Physical Art,640,Michael Scolaro,Oil on canvas,14 x 18 in,1999,1999,"painting; abstract art; blue; Signed ""M. Scolaro '99"" lower right corner",https://artcrimes.fbi.gov/nsaf/georgia/Georgia.gif/@@images/image/thumb
1751,Horse and Rider Jumping a Fence,Sculpture,Figures,334,,bronze,6 1/4 x 8 3/4 x 5 3/8 in,,,sculpture; telephone; horse; jumping; fence; riding; man,https://artcrimes.fbi.gov/nsaf/horse-and-rider-jumping-a-fence/JumpingFence.gif/@@images/image/thumb
1752,Abstract Black Portoro Marble Sculpture,Sculpture,Figures,565,Henry Klar; Gloria Klar,Marble,24 x 24 in,20th Century,1971,sculpture; abstract art; black; white; No markings,https://artcrimes.fbi.gov/nsaf/abstract-black-portoro-marble-sculpture/Portoro2.gif/@@images/image/thumb
1753,Dying Glow of Departing Day,Paintings,Physical Art,600,Sydney Laurence,Oil on canvas,12 x 16 in,1880-1940,1910,painting; landscape; mountains; trees; sunset; river; Signed,https://artcrimes.fbi.gov/nsaf/dying-glow-of-departing-day/DepartingDay.gif/@@images/image/thumb
1754,Pre-Colombian Costa Rico Ceramic Tripod Art,Ornamental Ceramic Wares,Containers,689,Costa Rica,Ceramic,,,,vessel; Pre-Columbian; tripod,https://artcrimes.fbi.gov/nsaf/pre-colombian-costa-rico-ceramic-tripod-art/seal-fbi.jpg/@@images/image/thumb
1755,Nail Fetish,Sculpture,Figures,148,Kongo; Africa,Wood,,30 in,,sculpture; African; figure; standing,https://artcrimes.fbi.gov/nsaf/nail-fetish/NailFetish.gif/@@images/image/thumb
1756,USS Arleigh Burke,Paintings,Physical Art,17,,Oil on linen,"48"" x 35""",1991,1991,"Marked with the words ""Thirty One Knot Burke"" and ""USS Arleigh Burke (DDG-51)"" and ""This ship is about to fight you better know how.""",https://artcrimes.fbi.gov/nsaf/uss-arleigh-burke/USSArleighBurke.jpg/@@images/image/thumb
1757,Cross,Other - Arts and Antiques,Miscellaneous,476,Spanish Colonial,Metal,,,,metalwork; cross,https://artcrimes.fbi.gov/nsaf/cross-id-021664/Cross021664.jpg/@@images/image/thumb
1758,Mexican Buffalo Hunter,"drawing,watercolour",Physical Art,146,Charles M. Russell,,12 x 7.5 in,,,drawing; man; horse; riding; hat; lasso; Signed lower left,https://artcrimes.fbi.gov/nsaf/mexican-buffalo-hunter/BuffaloHunter.gif/@@images/image/thumb
1759,Aida,Print,Physical Art,893,Edna Hibel,Lithograph,,20th Century,1999,print; king; girl; figures; costume; belly dance; signed; Portfolio # 451 - Artist Proof,https://artcrimes.fbi.gov/nsaf/aida/seal-fbi.jpg/@@images/image/thumb
1760,Cube,Sculpture,Figures,848,Gio Pomodoro,Marble carved,6.98 x 6.98 x 6.98 cm,1966-1968,1967,sculpture; abstract art; cube; white,https://artcrimes.fbi.gov/nsaf/cube/Cube.gif/@@images/image/thumb
1761,"Native American Jar, Gila Polychrome",Ornamental Ceramic Wares,Containers,205,Native American,Ceramic,Height,13th Century,1222,pot; geometric; Southwest; black; white; Cracks have been filled in. One hole has been restored.,https://artcrimes.fbi.gov/nsaf/native-american-jar-gila-polychrome/NAB34.gif/@@images/image/thumb
1762,14 Juillet,Paintings,Physical Art,26,Gustave Madelain,Oil on canvas,,20th Century,1959,painting; French; exterior; street; flags; people; buildings; monument; signed lower right,https://artcrimes.fbi.gov/nsaf/14-juillet/14Juillet.gif/@@images/image/thumb
1763,Palmyra Funerary Sculpture of a Woman with Veil,Sculpture,Figures,950,,Limestone,,2nd - 3rd Century AD,200,ISIL looted art.,https://artcrimes.fbi.gov/nsaf/palmyra-funerary-sculpture-of-a-woman-with-veil/PalmyraFunerarySculptureWomanVeil.gif/@@images/image/thumb
1764,"Land of Temples, Grand Canyon",Paintings,Physical Art,953,Dana Bartlett,Oil,36 x 30 in,Circa 1939,1939,"painting; landscape; Grand Canyon; Signed ""Dana Bartlett"" lower right",https://artcrimes.fbi.gov/nsaf/land-of-temples-grand-canyon/LandOfTemples.gif/@@images/image/thumb
1765,Mercedes Woman Maquette,Sculpture,Figures,802,Anthony Quinn,Bronze,,1991,1991,Edition # 7/45,https://artcrimes.fbi.gov/nsaf/mercedes-woman-maquette/MercedesWomanMaquette.gif/@@images/image/thumb
1766,Key West,Paintings,Physical Art,640,Michael Scolaro,Oil on canvas,60 x 48 in,1999,1999,"painting; landscape; clouds; water; ocean; blue; Signed ""M. Scolaro '99"" in lower right corner",https://artcrimes.fbi.gov/nsaf/key-west/KeyWest.gif/@@images/image/thumb
1767,Hellenistic Marble Statue of Standing Woman,Sculpture,Figures,1049,Hellenistic,Marble,,,,sculpture; woman; standing; cloak; dress,https://artcrimes.fbi.gov/nsaf/hellenistic-marble-statue-of-standing-woman/HellenisticWoman.gif/@@images/image/thumb
1768,"Bonofoit, Abstract Nude Lithograph",Print,Physical Art,90,Bonofoit,Lithograph,28 x 38 in,1937,1937,"print; modern art; nude woman; reclining; yellow; Signed ""Bonofoit""",https://artcrimes.fbi.gov/nsaf/bonofoit-abstract-nude-lithograph/BonofoitNude.gif/@@images/image/thumb
1769,Abstract Composition,Other - Arts and Antiques,Miscellaneous,285,Yuri Annenkov,Collage,66.00 x 59.00 cm,,,collage; abstract; signed lower right,https://artcrimes.fbi.gov/nsaf/abstract-composition/AbstractComposition.jpg/@@images/image/thumb
1770,Avery Engraved Bowl,Ornamental Ceramic Wares,Containers,389,Caddo Nation,Ceramic,16.50 cm,600 AD,600,"pottery; single row of dry paste punctuations/incisions, rising sun motif repeating 4 times; traces of white pigment in incised lines, vessel slightly warped",https://artcrimes.fbi.gov/nsaf/avery-engraved-bowl/AveryBowl.gif/@@images/image/thumb
1771,Still Life with Pomegranate,Paintings,Physical Art,876,Arbit Blatas,Oil on canvas,,20th Century,1900,painting; impressionism; still life; fruit; pomegranate; bowls; unsigned,https://artcrimes.fbi.gov/nsaf/still-life-with-pomegranate/SillLifeWithPomegranate.gif/@@images/image/thumb
1772,"Bunny Cuff Links, Rose Quartz, Tourmaline and Diamond","other,jewelry",Accessories,911,Zadora Limited,Quartz; gold; diamond; tourmaline,,20th Century,1908,"cuff links; rabbit; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/bunny-cuff-links-rose-quartz-tourmaline-and-diamond/seal-fbi.jpg/@@images/image/thumb
1773,Untitled Guyton,Paintings,Physical Art,873,Tyree Guyton,Wood paint,42 x 18 in,1996,1996,painting; face; man; modern art,https://artcrimes.fbi.gov/nsaf/untitled-guyton-id-012361/Guyton3.gif/@@images/image/thumb
1774,Playfulness,Sculpture,Figures,10,Paul Manship,Bronze,13 3/8 in,1912-1914,1913,sculpture; woman; sitting; child,https://artcrimes.fbi.gov/nsaf/playfulness/Playfulness.gif/@@images/image/thumb
1775,165-Y,Paintings,Physical Art,964,Ishizo Nishio,Oil on canvas,36 x 46 in,1900-1965,1933,painting; abstract art,https://artcrimes.fbi.gov/nsaf/165-y/165-Y.gif/@@images/image/thumb
1776,"Griffin Cuff Links, Citrine","other,jewelry",Accessories,911,Zadora Limited,Citrine; gold; diamond,,20th Century,1926,"cuff links; griffin; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/griffin-cuff-links-citrine/seal-fbi.jpg/@@images/image/thumb
1777,Aphrodite,Sculpture,Figures,1049,,Clay,5.50 cm,,,sculpture; bust; woman,https://artcrimes.fbi.gov/nsaf/aphrodite/Aphrodite.gif/@@images/image/thumb
1778,Ballerina,Paintings,Physical Art,782,Ostor Glorig,Oil on canvas,37 x 47 in,1965-1969,1967,painting; ballerina; dance; signed Ostor Glorig in lower left; in hand carved dark brown frame,https://artcrimes.fbi.gov/nsaf/ballerina/Ballerina.jpg/@@images/image/thumb
1779,El Diezmo,Paintings,Physical Art,768,Cuzco School (Peru),Oil on canvas,38 1/8 x 62 1/8 in,Mid 18th Century,1706,painting; Cuzco School; men; religious; six; child; standing,https://artcrimes.fbi.gov/nsaf/el-diezmo/ElDiezmo.gif/@@images/image/thumb
1780,Snake and Pyramids,Paintings,Physical Art,6,Alexander Calder,Gouache,73.75 x 108.12 cm,1976,1976,painting; abstract art; red; black; pyramid; Signed and dated lower right,https://artcrimes.fbi.gov/nsaf/snake-and-pyramids/00006-pic.jpg/@@images/image/thumb
1781,Lac de Walenstadt,Photographs,Physical Art,963,Adolphe Braun,Paper,19 x 9 in,1886,1886,photograph,https://artcrimes.fbi.gov/nsaf/lac-de-walenstadt/seal-fbi.jpg/@@images/image/thumb
1782,Der Seiltanzer,None,Miscellaneous,112,Paul Klee,Paper,17 3/8 x 10 5/8 in,1923,1923,lithograph; modern art; line drawing; acrobat; tight rope; ladder; signed,https://artcrimes.fbi.gov/nsaf/der-seiltanzer/DerSeiltanzer.gif/@@images/image/thumb
1783,Dutch Harbour at Sunset,Paintings,Physical Art,457,Johann Baptiste Bouttats,Oil on canvas,61.00 x 88.90 cm,1725,1725,painting; harbor; sailing ship; boats; Signed and dated lower right,https://artcrimes.fbi.gov/nsaf/dutch-harbour-at-sunset/HarborAtSunset.gif/@@images/image/thumb
1784,A Standing Draped Female Figure (recto),"drawing,watercolour",Physical Art,954,Eustache le Sueur,Chalk on paper,13.75 x 9 in,1616-1655,1636,"drawing; woman; standing; Double-sided inscribed lower right ""Lesueur""",https://artcrimes.fbi.gov/nsaf/a-standing-draped-female-figure-recto/DrapedFemale.gif/@@images/image/thumb
1785,Christy Mathewson 1906 Baseball Jersey,Clothing and Costumes,Fabrics,616,Spalding,Wool,,1906,1906,"baseball jersey; baseball; Christopher Mathewson; ""WORLD'S CHAMPIONS"" in lettering on front of jersey; Right sleeve has cuff cut off",https://artcrimes.fbi.gov/nsaf/christy-mathewson-1906-baseball-jersey/MathewsonJersey.gif/@@images/image/thumb
1786,Fox Hunting Scene,Paintings,Physical Art,919,Crooke,Oil on canvas,16 x 24 in,Circa 1880,1880,painting; hunting; dogs; horses; men; riding; Signed,https://artcrimes.fbi.gov/nsaf/fox-hunting-scene/FoxHuntingScene1.gif/@@images/image/thumb
1787,Rome,Photographs,Physical Art,963,Karl Struss,,4 x 5 in,1909,1909,photograph,https://artcrimes.fbi.gov/nsaf/rome/seal-fbi.jpg/@@images/image/thumb
1788,Untitled Michael Dvortcsak Painting with Large Jar in Foreground,Paintings,Physical Art,317,Michael Dvortcsak,,60 x 48 in,,,painting,https://artcrimes.fbi.gov/nsaf/untitled-michael-dvortcsak-painting-with-large-jar-in-foreground/JarPainting.gif/@@images/image/thumb
1789,The Smoker,Print,Physical Art,2,Pablo Picasso,Aquatint,24 x 16 in,,,print; modern art; portrait; man; cigarette; smoking; Signed lower right; Edition #8/50,https://artcrimes.fbi.gov/nsaf/the-smoker/Smoker.gif/@@images/image/thumb
1790,"The Fokker Spider, 1912",Print,Physical Art,274,Charles H. Hubbell,,,1912,1912,print; portrait,https://artcrimes.fbi.gov/nsaf/the-fokker-spider-1912/FokkerSpider.gif/@@images/image/thumb
1791,Adobe New Mexico,Paintings,Physical Art,538,Art J. Meyers,Watercolor,25 x 22 in,,,painting; exterior; adobe; building; hill; church; unsigned,https://artcrimes.fbi.gov/nsaf/adobe-new-mexico/Adobe.gif/@@images/image/thumb
1792,Untitled Painting of Venice Canals,Paintings,Physical Art,976,,Oil on canvas,30 x 40 in,1999,1999,painting; Venice; canal; buildings; gondola; signed lower right,https://artcrimes.fbi.gov/nsaf/untitled-painting-of-venice-canals/VeniceCanals.gif/@@images/image/thumb
1793,Preparing for the Hunt,Paintings,Physical Art,548,Lyle Tayson,Oil on canvas,24 x 40 in,1984,1984,painting; Native American; horses; men; riding; teepee; smoke; signed lower left,https://artcrimes.fbi.gov/nsaf/preparing-for-the-hunt/Preparing.gif/@@images/image/thumb
1794,Galatea,Paintings,Physical Art,8,Raoul Dufy,Gouache,22 x 30.25 in,,,painting; modern art; nude women; horses; signed,https://artcrimes.fbi.gov/nsaf/galatea/Galatea.gif/@@images/image/thumb
1795,Town on a River,Paintings,Physical Art,933,J.M.W. Turner,Watercolor,5 1/8 x 7 1/4 in,1775-1851,1813,painting; river; buildings; bridge; boat; people,https://artcrimes.fbi.gov/nsaf/town-on-a-river/TownOnARiver.gif/@@images/image/thumb
1796,"Maquette, Fed CH Diptych #2, Byron White CH, Denver, CO",Paintings,Physical Art,953,Daniel Sprick,,,1993,1993,painting; interior; hall; arches; table; flowers; bowl; fruit,https://artcrimes.fbi.gov/nsaf/maquette-fed-ch-diptych-2-byron-white-ch-denver-co/Maquette2.gif/@@images/image/thumb
1797,Samuel J. Hewson House Mural,Other - Arts and Antiques,Miscellaneous,707,Hardesty Gillmore Maratta,"Paint on prepared, white terra-cotta clay",33 x 11 7/8 in,1905,1905,"Ceramic Mural; landscape; forest; The lower left corner of tile number one bears the inscription 'Gates Potteries Chicago 1905', and the lower right corner of tile 5 is the signature 'H G MARATTA'",https://artcrimes.fbi.gov/nsaf/samuel-j-hewson-house-mural/00707%20picture%20A.jpg/@@images/image/thumb
1798,The Thin Man,Books,Physical Art,1123,Dashiell Hammett,,,First edition published in 1934,1934,Call no. PS3515 .A4347 T47 1934b,https://artcrimes.fbi.gov/nsaf/the-thin-man/01123_picture_1.jpg/@@images/image/thumb
1799,Florentine Flower Girl,Paintings,Physical Art,240,Michele Gordigiani,Oil on canvas,50 x 38 in,1830-1909,1870,painting; portrait; woman; basket; flowers,https://artcrimes.fbi.gov/nsaf/florentine-flower-girl/FlorentineFlowerGirl.gif/@@images/image/thumb
1800,Were-Jaguar,Other - Arts and Antiques,Miscellaneous,906,Olmec; Mexico,Stone,11.5 in,1100-800 BC,-950,axe; Pre-Columbian; jaguar; baby,https://artcrimes.fbi.gov/nsaf/were-jaguar/Were-Jaguar.gif/@@images/image/thumb
1801,Monhegan Island,Paintings,Physical Art,759,Rockwell Kent,Oil on canvas,30 x 42in.,1910,1910,Signed and dated lower left,https://artcrimes.fbi.gov/nsaf/monhegan-island/00759_picture.JPG/@@images/image/thumb
1802,Le Matador,Print,Physical Art,907,Joan Miro,,46 x 61 in,,,"etching; abstract art; black; red; green; blue; Marked ""HC"" lower left",https://artcrimes.fbi.gov/nsaf/le-matador/LeMatador.gif/@@images/image/thumb
1803,Portrait of His Niece,Paintings,Physical Art,182,Sir William Opie,Oil on canvas,30 x 24 in,19th Century,1837,painting; portrait; left facing; woman; brunette; signed,https://artcrimes.fbi.gov/nsaf/portrait-of-his-niece/Niece.gif/@@images/image/thumb
1804,Strawberry Collector,Print,Physical Art,923,Michael Parkes,Lithograph print,,Late 90's,1990,Signed lower left #27/140,https://artcrimes.fbi.gov/nsaf/strawberry-collector/00923_picture_13.jpg/@@images/image/thumb
1805,Banded Agate Owls Sculpture,Sculpture,Figures,911,Zadora Limited,Agate; gold,,20th Century,1965,"sculpture; owl; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/banded-agate-owls-sculpture/seal-fbi.jpg/@@images/image/thumb
1806,Flowers,Print,Physical Art,53,Andy Warhol,Paper,36 x 36 in,20th Century,1974,serigraph; flowers; Signed Andy Warhol on back with #13/250,https://artcrimes.fbi.gov/nsaf/flowers-by-andy-warhol/Flowers.gif/@@images/image/thumb
1807,Day Dreams,Sculpture,Figures,522,Michail Razvan Constantine,Bronze,36 in,1991,1991,sculpture; nude woman; rock,https://artcrimes.fbi.gov/nsaf/day-dreams/DayDreams.gif/@@images/image/thumb
1808,On Autumn Wind,Sculpture,Figures,539,Don Dufva,Bronze,8 1/2 x 13 in,,,sculpture; geese; flying; #5/12,https://artcrimes.fbi.gov/nsaf/on-autumn-wind/OnAutumnWind.gif/@@images/image/thumb
1809,New York City (A),Photographs,Physical Art,953,Raymond W. Culross,,8 x 20 in,20th Century,1996,"photograph; exterior; cityscape; New York City, New York; Empire State Building; Signed ""Pete Culross""",https://artcrimes.fbi.gov/nsaf/new-york-city-a/seal-fbi.jpg/@@images/image/thumb
1810,Landscape,Paintings,Physical Art,997,Walter Snelgrove,Oil on canvas,"48"" x 36""",Late 20th century,1955,,https://artcrimes.fbi.gov/nsaf/landscape-by-walter-snelgrove/00997_picture.jpg/@@images/image/thumb
1811,Wool Rug with Geometric Designs,"other,textiles",Fabrics,343,,Wool,5' x 3',,,rug; geometric,https://artcrimes.fbi.gov/nsaf/wool-rug-with-geometric-designs/RectangleDesignRug.gif/@@images/image/thumb
1812,Female with Arms Raised on Brown Striped Rug,Paintings,Physical Art,1046,Max Moran,Oil on canvas,18 x 24 in,1988-1989,1989,,https://artcrimes.fbi.gov/nsaf/female-with-arms-raised-on-brown-striped-rug/01046_picture_88.JPG/@@images/image/thumb
1813,Document (aka: New England Prospect),Print,Physical Art,859,Whiting Tennis,Woodblock print and oil on paper mounted on panel,"72"" x 96""",1995,1995,"The text, ""The Figure of the Indian Fort"" appears in script in the upper-left-hand corner of the work.",https://artcrimes.fbi.gov/nsaf/document-aka-new-england-prospect/DocumentAKANewEnglandProspect.jpg/@@images/image/thumb
1814,Serevine and Children,Print,Physical Art,893,Edna Hibel,Lithograph canvas,,20th Century,1927,print; portrait; woman; infant; girl; Signed; Portfolio # 426,https://artcrimes.fbi.gov/nsaf/serevine-and-children/seal-fbi.jpg/@@images/image/thumb
1815,The Adoration of the Magi | L'adoration des Mages,Paintings,Physical Art,466,,Oil on marble gilt wood,47.50 x 49.30 cm,17th Century,1641,"painting, religious, Jesus Christ, Virgin Mary, Joseph, Magi",https://artcrimes.fbi.gov/nsaf/the-adoration-of-the-magi-ladoration-des-mages/TheAdorationOfTheMagi.gif/@@images/image/thumb
1816,War Without Death,Sculpture,Figures,206,Michael Redman,Gold silver,,,,"sculpture, Native American, drum, nude man",https://artcrimes.fbi.gov/nsaf/war-without-death/WarWithoutDeath.gif/@@images/image/thumb
1817,Figurative of Tamara Radenkovic,Paintings,Physical Art,1046,Max Moran,Oil on panel,7 x 15 in,1993-1994,1994,,https://artcrimes.fbi.gov/nsaf/figurative-of-tamara-radenkovic/01046_picture_87.JPG/@@images/image/thumb
1818,Summer (Abstract),Print,Physical Art,411,Robert Motherwell,Color lithograph on paper,19.25 in x 16 in,1980,1980,"yellow and gray, with expressionist black image over both color blocks; Original hand-signed and numbered lithograph, numbered 50/60",https://artcrimes.fbi.gov/nsaf/summer-abstract/AbstractSummer.gif/@@images/image/thumb
1819,Untitled Ali Golkar Painting of Woman with Guitar,Paintings,Physical Art,981,Ali Golkar,Acrylic on canvas,60 x 80 in,2002,2002,"painting; modern art; woman; guitar; window; Signed ""Ali"" lower right; inventory #750 on back of canvas",https://artcrimes.fbi.gov/nsaf/untitled-ali-golkar-painting-of-woman-with-guitar/GolkarPainting1.gif/@@images/image/thumb
1820,Amati Violin,Instruments - String,Instruments,442,Hieronymus and Antonius Amati,Wood,"13 7/8"" length of back",c. 1622,1622,,https://artcrimes.fbi.gov/nsaf/amati-violin/AmatiViolin.gif/@@images/image/thumb
1821,Redmark,Paintings,Physical Art,700,Donna Gans,Acrylic on canvas,20 x 16 in,2007,2007,painting; abstract; squares,https://artcrimes.fbi.gov/nsaf/redmark/Redmark.gif/@@images/image/thumb
1822,"Album of Plants, Animals and Birds: Bird and Flowers","drawing,watercolour",Physical Art,356,Chen Chia-yen; China,Ink on paper,28.00 x 24.00 cm,1368-1643,1506,drawing; Asian; bird; flowers; Seal of artist in lower right,https://artcrimes.fbi.gov/nsaf/album-of-plants-animals-and-birds-bird-and-flowers/AlbumBirdFlowers.gif/@@images/image/thumb
1823,After the Day's Work,Paintings,Physical Art,94,George Inness,Oil on canvas,25 x 20 in,1825-1894,1860,painting; man; walking; field; farmhouse; hoe; Butterfield's label on back with inventory # QLP2AP3,https://artcrimes.fbi.gov/nsaf/after-the-days-work/DaysWork.gif/@@images/image/thumb
1824,America La France Variation VII,Print,Physical Art,563,Robert Motherwell,Lithograph,57 x 41 in,1984,1984,"print; abstract art; brown; blue; black; Signed and numbered lower right; Word ""ARJOMARI"" in center of piece; Edition #22 of 68",https://artcrimes.fbi.gov/nsaf/america-la-france-variation-vii/AmericaVII.gif/@@images/image/thumb
1825,Evening - Wet Weather,Paintings,Physical Art,583,Robert Henri,Oil on panel,6 x 9.5 in,Early 20th Century,1917,painting; street scene; people; rain; buildings; Signed on front or labeled on back,https://artcrimes.fbi.gov/nsaf/evening-wet-weather/EveningWetWeather.gif/@@images/image/thumb
1826,Brewster Woods,Paintings,Physical Art,154,Magda Pach,Oil on canvas,20 x 30 in,1940,1940,painting; woods; rocks; trees; Signed,https://artcrimes.fbi.gov/nsaf/brewster-woods/BrewsterWoods.gif/@@images/image/thumb
1827,Piper,Sculpture,Figures,327,Richard MacDonald,Bronze,28.5 x 23 x 28 in,,,sculpture; nude woman; flute; crouching; Number 26 of 75,https://artcrimes.fbi.gov/nsaf/piper/Piper.gif/@@images/image/thumb
1828,Shah Abras with Falcon,Paintings,Physical Art,926,Master Mohammad Hassan Afshar,Skin,14 x 10 in,19th Century,1829,painting; Persian; man; falcon; signed,https://artcrimes.fbi.gov/nsaf/shah-abras-with-falcon/ShahAbras.gif/@@images/image/thumb
1829,Pears,Paintings,Physical Art,833,Sanna Tomac,Oil on board,"8 x 10 in, frame",,,painting; still life; pears,https://artcrimes.fbi.gov/nsaf/pears/Pears.gif/@@images/image/thumb
1830,Ship William Thompson Tusk,Other - Arts and Antiques,Miscellaneous,731,,Ivory carving,21 3/4 x 2 1/3 x 1.7 in,19th c.,1850,"scrimshaw; walrus tusk; inscription; engraved ""Ship. Wm. Thompson"" on one side of tusk. Lettering is Old English style in black. Brown markings around inscription",https://artcrimes.fbi.gov/nsaf/ship-william-thompson-tusk/ShipWilliamThompsonTusk.jpg/@@images/image/thumb
1831,Apparition,Print,Physical Art,999,Werner Drewes,Color woodcut,9 1/8 x 12 1/4 in,1945,1945,proof 1/30,https://artcrimes.fbi.gov/nsaf/apparition/Apparition.jpg/@@images/image/thumb
1832,Clay Kneeling Statue with Deer on Lap,Sculpture,Figures,1049,Egypt,,7.20 x 4.90 x 4.20 cm,,,sculpture; deer; figure,https://artcrimes.fbi.gov/nsaf/clay-kneeling-statue-with-deer-on-lap/DeerLap.gif/@@images/image/thumb
1833,Alchime Des Philosophies (Alchemy of the Philosophers) Fish,Print,Physical Art,167,Salvador Dali,Lithograph,30 x 22 in,,,print; surrealism; horse; figures; bird; fish; Signed; #210/225,https://artcrimes.fbi.gov/nsaf/alchime-des-philosophies-alchemy-of-the-philosophers-fish/Alchemy10.gif/@@images/image/thumb
